F-volt,V-volt,P-volt,Object,Object Name
0,4.868035191,5,S,SR
0.004887586,4.765395894,4.95601173,S,SR
4.833822092,5,4.990224829,S,SR
4.838709677,4.516129032,4.990224829,S,SR
4.838709677,4.188660802,4.990224829,S,SR
0.004887586,4.652981427,4.965786901,S,SR
0,4.550342131,5,S,SR
4.838709677,4.980449658,4.985337243,S,SR
4.838709677,4.398826979,4.990224829,S,SR
4.838709677,4.154447703,4.985337243,S,SR
0,4.516129032,4.931573803,S,SR
0,4.467253177,4.833822092,S,SR
4.838709677,5,4.990224829,S,SR
4.843597263,4.442815249,4.985337243,S,SR
4.838709677,4.169110459,4.985337243,S,SR
4.838709677,3.768328446,4.985337243,S,SR
0,4.535679374,4.760508309,S,SR
0,4.389051808,4.81427175,S,SR
1.207233627,5,4.95601173,S,SR
4.838709677,4.853372434,4.990224829,S,SR
4.843597263,4.379276637,4.990224829,S,SR
0.004887586,4.100684262,4.921798631,S,SR
0,3.919843597,4.931573803,S,SR
0.004887586,3.856304985,4.716520039,S,SR
0,3.802541544,4.701857283,S,SR
0,3.758553275,4.662756598,S,SR
0.004887586,3.709677419,4.579667644,S,SR
0.004887586,3.660801564,4.379276637,S,SR
0,3.62170088,3.998044966,S,SR
0,3.587487781,3.934506354,S,SR
0,3.597262952,3.743890518,S,SR
0,3.528836755,3.699902248,S,SR
0.004887586,3.509286413,3.519061584,S,SR
0,3.499511241,3.704789834,S,SR
0.004887586,3.494623656,3.548387097,S,SR
0,3.53372434,3.387096774,S,SR
0,3.509286413,3.401759531,S,SR
4.721407625,4.965786901,4.985337243,S,SR
4.838709677,4.701857283,4.990224829,S,SR
4.838709677,4.320625611,4.990224829,S,SR
4.838709677,4.12512219,4.990224829,S,SR
4.838709677,3.954056696,4.990224829,S,SR
4.838709677,3.836754643,4.985337243,S,SR
4.843597263,3.76344086,4.990224829,S,SR
4.838709677,3.724340176,4.990224829,S,SR
4.838709677,3.66568915,4.990224829,S,SR
4.838709677,3.631476051,4.990224829,S,SR
4.838709677,3.602150538,4.990224829,S,SR
4.843597263,3.616813294,4.990224829,S,SR
0.004887586,4.447702835,4.990224829,S,SR
0,4.516129032,4.921798631,S,SR
0,4.428152493,4.824046921,S,SR
0,4.403714565,5,S,SR
0,4.389051808,4.721407625,S,SR
0.004887586,4.340175953,4.736070381,S,SR
0.004887586,4.345063539,4.91202346,S,SR
0.004887586,4.345063539,4.804496579,S,SR
0,4.276637341,4.613880743,S,SR
0.004887586,4.227761486,4.403714565,S,SR
0,4.183773216,4.393939394,S,SR
0,4.173998045,4.486803519,S,SR
0,4.154447703,4.369501466,S,SR
0.004887586,4.105571848,4.340175953,S,SR
0,4.066471163,4.149560117,S,SR
4.784946237,5,4.990224829,S,SR
4.843597263,4.618768328,4.990224829,S,SR
4.843597263,4.217986315,4.990224829,S,SR
4.838709677,3.973607038,4.985337243,S,SR
4.843597263,3.812316716,4.990224829,S,SR
4.843597263,3.709677419,4.990224829,S,SR
4.838709677,3.611925709,4.990224829,S,SR
4.843597263,3.558162268,4.985337243,S,SR
0.004887586,4.594330401,4.863147605,S,SR
0.004887586,4.501466276,5,S,SR
0,4.384164223,5,S,SR
0,4.31085044,4.755620723,S,SR
0.004887586,4.232649071,4.946236559,S,SR
4.838709677,4.985337243,4.995112414,S,SR
4.838709677,4.369501466,4.990224829,S,SR
4.838709677,4.08113392,4.990224829,S,SR
4.843597263,3.929618768,4.985337243,S,SR
4.843597263,3.76344086,4.985337243,S,SR
0,4.68230694,5,S,SR
0,4.521016618,4.780058651,S,SR
