F-volt,V-volt,P-volt,Object,Object type
4.2228739,4.130009775,4.164222874,H,PLA
4.227761486,4.144672532,4.183773216,H,PLA
0,0.635386119,3.924731183,H,PLA
0,0.45943304,3.880742913,H,PLA
0,0.288367546,3.89540567,H,PLA
0,0.312805474,3.870967742,H,PLA
4.173998045,4.349951124,4.149560117,H,PLA
4.217986315,4.379276637,4.169110459,H,PLA
4.227761486,4.418377322,4.164222874,H,PLA
0,1.348973607,3.900293255,H,PLA
0,0.68914956,3.866080156,H,PLA
3.792766373,4.051808407,4.134897361,H,PLA
3.983382209,4.154447703,4.149560117,H,PLA
0,0.772238514,3.880742913,H,PLA
0,0.483870968,3.856304985,H,PLA
4.188660802,4.12512219,4.154447703,H,PLA
4.301075269,4.325513196,4.17888563,H,PLA
4.320625611,4.296187683,4.17888563,H,PLA
4.325513196,4.301075269,4.183773216,H,PLA
0,0.7771261,3.914956012,H,PLA
0,0.532746823,3.875855327,H,PLA
0,0.464320626,3.870967742,H,PLA
0,0.405669599,3.919843597,H,PLA
4.183773216,4.340175953,4.169110459,H,PLA
4.208211144,4.345063539,4.173998045,H,PLA
0,0.752688172,3.919843597,H,PLA
0,0.444770283,3.880742913,H,PLA
1.920821114,2.952101662,3.43597263,H,PLA
4.320625611,4.657869013,4.188660802,H,PLA
4.335288368,4.643206256,4.193548387,H,PLA
4.340175953,4.657869013,4.193548387,H,PLA
0,0.87487781,3.94916911,H,PLA
0,0.713587488,3.919843597,H,PLA
0,0.679374389,3.905180841,H,PLA
4.301075269,5,4.193548387,H,PLA
4.349951124,5,4.188660802,H,PLA
4.359726295,5,4.188660802,H,PLA
0,1.559139785,3.954056696,H,PLA
0,1.1485826,3.954056696,H,PLA
0,1.094819159,3.94916911,H,PLA
0,1.036168133,3.973607038,H,PLA
0,1.353861193,3.988269795,H,PLA
4.340175953,4.364613881,4.188660802,H,PLA
4.35483871,4.374389052,4.188660802,H,PLA
4.359726295,4.349951124,4.193548387,H,PLA
1.9257087,1.710654936,3.958944282,H,PLA
0,0.469208211,3.939393939,H,PLA
0,0.430107527,3.890518084,H,PLA
0,0.41544477,3.89540567,H,PLA
4.340175953,3.836754643,4.193548387,H,PLA
4.349951124,3.817204301,4.198435973,H,PLA
4.359726295,3.802541544,4.203323558,H,PLA
0,0.048875855,3.924731183,H,PLA
0,0,3.885630499,H,PLA
0,0,3.924731183,H,PLA
0,0.029325513,3.885630499,H,PLA
0,0.048875855,3.924731183,H,PLA
4.345063539,4.291300098,4.188660802,H,PLA
4.359726295,4.247311828,4.193548387,H,PLA
4.359726295,4.261974585,4.208211144,H,PLA
4.369501466,4.252199413,4.203323558,H,PLA
0,0.537634409,3.954056696,H,PLA
0,0.366568915,3.890518084,H,PLA
0,0.327468231,3.939393939,H,PLA
0,0.361681329,3.914956012,H,PLA
4.12512219,4.213098729,4.183773216,H,PLA
4.173998045,4.227761486,4.188660802,H,PLA
4.203323558,4.247311828,4.188660802,H,PLA
4.208211144,4.257086999,4.188660802,H,PLA
4.208211144,4.247311828,4.193548387,H,PLA
4.213098729,4.2228739,4.193548387,H,PLA
4.217986315,4.208211144,4.188660802,H,PLA
4.2228739,4.203323558,4.188660802,H,PLA
0,0.449657869,3.919843597,H,PLA
0,0.337243402,3.89540567,H,PLA
0,0.327468231,3.885630499,H,PLA
0,0.337243402,3.890518084,H,PLA
3.900293255,5,4.154447703,H,PLA
4.379276637,5,4.203323558,H,PLA
4.393939394,5,4.208211144,H,PLA
4.398826979,5,4.217986315,H,PLA
4.403714565,5,4.217986315,H,PLA
4.408602151,5,4.213098729,H,PLA
4.408602151,5,4.227761486,H,PLA
0,1.451612903,3.968719453,H,PLA
0,1.173020528,3.968719453,H,PLA
0,1.124144673,3.978494624,H,PLA
0,1.089931574,3.998044966,H,PLA
0,1.080156403,3.99315738,H,PLA
3.289345064,3.186705767,4.144672532,H,PLA
4.208211144,3.861192571,4.17888563,H,PLA
4.217986315,3.861192571,4.193548387,H,PLA
4.227761486,3.861192571,4.188660802,H,PLA
4.232649071,3.866080156,4.188660802,H,PLA
4.237536657,3.856304985,4.183773216,H,PLA
0,0.195503421,3.905180841,H,PLA
0,0,3.880742913,H,PLA
0,0,3.880742913,H,PLA
0,0.04398827,3.900293255,H,PLA
0,0.083088954,3.905180841,H,PLA
0,0.131964809,3.89540567,H,PLA
0,0.175953079,3.885630499,H,PLA
3.963831867,4.330400782,4.144672532,H,PLA
4.061583578,4.369501466,4.169110459,H,PLA
4.08113392,4.393939394,4.169110459,H,PLA
4.090909091,4.413489736,4.17888563,H,PLA
4.110459433,4.403714565,4.183773216,H,PLA
4.120234604,4.369501466,4.183773216,H,PLA
0,0.474095797,3.934506354,H,PLA
0,0.278592375,3.885630499,H,PLA
0,0.283479961,3.870967742,H,PLA
0,0.293255132,3.880742913,H,PLA
0,0.31769306,3.885630499,H,PLA
0,0.337243402,3.861192571,H,PLA
0,0.327468231,3.900293255,H,PLA
3.939393939,4.164222874,4.154447703,H,PLA
4.032258065,4.242424242,4.173998045,H,PLA
4.042033236,4.252199413,4.17888563,H,PLA
4.051808407,4.276637341,4.188660802,H,PLA
4.066471163,4.281524927,4.183773216,H,PLA
0,0.786901271,3.890518084,H,PLA
0,0.327468231,3.919843597,H,PLA
0,0.307917889,3.924731183,H,PLA
0,0.351906158,3.900293255,H,PLA
0,0.361681329,3.89540567,H,PLA
4.374389052,4.393939394,4.193548387,H,PLA
4.398826979,4.384164223,4.203323558,H,PLA
4.413489736,4.359726295,4.217986315,H,PLA
0,0.420332356,3.958944282,H,PLA
0,0.351906158,3.968719453,H,PLA
1.559139785,2.732160313,4.076246334,H,PLA
4.398826979,4.501466276,4.213098729,H,PLA
4.413489736,4.462365591,4.2228739,H,PLA
4.418377322,4.433040078,4.2228739,H,PLA
4.423264907,4.428152493,4.2228739,H,PLA
4.418377322,4.398826979,4.2228739,H,PLA
0,0.586510264,3.978494624,H,PLA
0,0.532746823,3.939393939,H,PLA
0,0.513196481,3.94916911,H,PLA
0,0.493646139,3.963831867,H,PLA
4.403714565,4.389051808,4.203323558,H,PLA
4.428152493,4.325513196,4.2228739,H,PLA
4.437927664,4.330400782,4.2228739,H,PLA
4.35483871,1.407624633,4.022482893,H,PLA
0,0.425219941,3.919843597,H,PLA
0,0.391006843,3.968719453,H,PLA
0,0.400782014,3.939393939,H,PLA
4.398826979,4.349951124,4.213098729,H,PLA
4.428152493,4.340175953,4.2228739,H,PLA
0,0.522971652,3.958944282,H,PLA
0,0.410557185,3.954056696,H,PLA
0,0.420332356,3.988269795,H,PLA
0,0.430107527,3.958944282,H,PLA
4.408602151,5,4.208211144,H,PLA
4.433040078,5,4.2228739,H,PLA
4.437927664,5,4.227761486,H,PLA
4.442815249,5,4.227761486,H,PLA
0,1.124144673,3.978494624,H,PLA
0,1.089931574,4.012707722,H,PLA
0,1.070381232,3.973607038,H,PLA
0,1.031280547,3.99315738,H,PLA
4.286412512,4.398826979,4.188660802,H,PLA
4.315738025,4.379276637,4.203323558,H,PLA
4.320625611,4.369501466,4.203323558,H,PLA
0,0.620723363,3.944281525,H,PLA
0,0.22971652,3.900293255,H,PLA
0,0.254154448,3.900293255,H,PLA
0,0.268817204,3.910068426,H,PLA
0,0.288367546,3.934506354,H,PLA
4.379276637,4.076246334,4.198435973,H,PLA
4.442815249,4.173998045,4.227761486,H,PLA
4.447702835,4.17888563,4.2228739,H,PLA
0,0.410557185,3.939393939,H,PLA
0,0.175953079,3.978494624,H,PLA
4.398826979,4.26686217,4.203323558,H,PLA
4.447702835,4.384164223,4.2228739,H,PLA
4.447702835,4.403714565,4.2228739,H,PLA
0,0.64516129,3.978494624,H,PLA
0,0.391006843,3.924731183,H,PLA
0,4.926686217,2.292277615,F,TPU
0,4.965786901,2.502443793,F,TPU
0,4.965786901,2.65884653,F,TPU
0,4.926686217,2.913000978,F,TPU
