F-volt,V-volt,P-volt,Object,Object Name
4.711632454,4.281524927,4.990224829,H,W
4.711632454,4.17888563,4.995112414,H,W
0.004887586,0.127077224,4.550342131,H,W
0.014662757,0.073313783,4.301075269,H,W
4.701857283,5,4.995112414,H,W
4.711632454,4.775171065,4.995112414,H,W
0.014662757,0.146627566,4.530791789,H,W
0.004887586,0.102639296,4.613880743,H,W
4.711632454,4.91202346,5,H,W
4.711632454,4.613880743,4.990224829,H,W
0.004887586,0.068426197,4.652981427,H,W
0.004887586,0.053763441,4.188660802,H,W
0.009775171,0.048875855,3.944281525,H,W
4.662756598,4.442815249,4.990224829,H,W
4.711632454,4.77028348,4.990224829,H,W
0.014662757,0.190615836,4.516129032,H,W
0.004887586,0.073313783,4.608993157,H,W
0.009775171,0.107526882,4.193548387,H,W
4.706744868,4.975562072,4.995112414,H,W
4.711632454,4.486803519,4.995112414,H,W
4.716520039,4.252199413,4.995112414,H,W
4.721407625,4.066471163,4.990224829,H,W
0.004887586,0.092864125,4.696969697,H,W
0.014662757,0.004887586,4.525904203,H,W
4.692082111,5,4.980449658,H,W
4.716520039,4.828934506,4.990224829,H,W
4.716520039,4.623655914,4.990224829,H,W
0.004887586,0.122189638,4.208211144,H,W
4.716520039,5,4.990224829,H,W
4.721407625,4.81427175,4.985337243,H,W
4.721407625,4.638318671,4.990224829,H,W
0.009775171,0.171065494,4.594330401,H,W
4.716520039,5,4.985337243,H,W
4.721407625,4.789833822,4.990224829,H,W
0.004887586,0.327468231,4.711632454,H,W
4.711632454,5,4.985337243,H,W
4.721407625,4.828934506,4.990224829,H,W
0.004887586,0.259042033,4.662756598,H,W
4.711632454,5,4.985337243,H,W
4.72629521,4.809384164,4.985337243,H,W
4.72629521,4.623655914,4.990224829,H,W
4.721407625,4.535679374,4.990224829,H,W
0.004887586,0.146627566,4.652981427,H,W
0.004887586,0.161290323,4.54056696,H,W
4.72629521,5,4.990224829,H,W
0.298142717,0.312805474,4.765395894,H,W
0.004887586,0.171065494,4.652981427,H,W
0.009775171,0.434995112,4.320625611,H,W
0.009775171,0.303030303,3.861192571,H,W
0.009775171,0.327468231,3.475073314,H,W
0.009775171,0.386119257,3.30400782,H,W
4.687194526,4.95601173,4.990224829,H,W
4.692082111,4.49657869,4.990224829,H,W
4.696969697,4.320625611,4.990224829,H,W
0.004887586,0.307917889,4.481915934,H,W
0.009775171,0.303030303,4.49657869,H,W
0.009775171,0.268817204,4.105571848,H,W
0.009775171,0.22971652,3.592375367,H,W
4.672531769,5,4.990224829,H,W
4.701857283,4.809384164,4.990224829,H,W
4.701857283,4.594330401,4.990224829,H,W
4.701857283,4.525904203,4.995112414,H,W
0.542521994,0.464320626,4.589442815,H,W
0.009775171,0.356793744,4.208211144,H,W
0.009775171,0.347018573,3.768328446,H,W
0.004887586,0.347018573,3.475073314,H,W
0.009775171,0.327468231,3.279569892,H,W
4.711632454,4.887585533,4.990224829,H,W
4.706744868,4.604105572,4.985337243,H,W
4.711632454,4.516129032,4.990224829,H,W
4.711632454,4.413489736,4.990224829,H,W
4.711632454,4.359726295,4.990224829,H,W
4.711632454,4.345063539,4.990224829,H,W
4.711632454,4.261974585,4.995112414,H,W
4.711632454,4.242424242,5,H,W
4.706744868,4.188660802,4.990224829,H,W
4.711632454,4.169110459,4.990224829,H,W
4.711632454,4.173998045,4.995112414,H,W
4.716520039,4.173998045,4.990224829,H,W
4.711632454,4.149560117,4.995112414,H,W
4.716520039,4.105571848,4.990224829,H,W
4.711632454,4.046920821,4.985337243,H,W
4.716520039,3.973607038,4.995112414,H,W
4.716520039,3.94916911,4.995112414,H,W
4.716520039,3.968719453,5,H,W
0.522971652,0.522971652,4.58455523,H,W
0.009775171,0.444770283,4.506353861,H,W
0.009775171,0.41544477,4.296187683,H,W
0,5,2.126099707,S,TPU
0,5,2.507331378,S,TPU
0,5,2.600195503,S,TPU
0,5,2.878787879,S,TPU
0,4.765395894,3.475073314,S,TPU
4.706744868,5,4.687194526,S,TPU
4.784946237,5,4.740957967,S,TPU
4.789833822,5,4.745845552,S,TPU
4.789833822,5,4.750733138,S,TPU
4.794721408,5,4.750733138,S,TPU
4.799608993,5,4.750733138,S,TPU
4.794721408,5,4.755620723,S,TPU
4.794721408,5,4.750733138,S,TPU
4.794721408,5,4.750733138,S,TPU
0,3.944281525,5,S,TPU
0,4.105571848,4.936461388,S,TPU
0,4.188660802,4.457478006,S,TPU
4.731182796,5,4.662756598,S,TPU
4.804496579,4.604105572,4.755620723,S,TPU
4.809384164,4.325513196,4.765395894,S,TPU
4.81427175,4.257086999,4.77028348,S,TPU
4.809384164,4.301075269,4.838709677,S,TPU
4.81427175,4.359726295,4.863147605,S,TPU
0.391006843,2.033235582,4.594330401,S,TPU
0,1.96969697,4.68230694,S,TPU
4.565004888,4.931573803,4.58455523,S,TPU
4.804496579,5,4.755620723,S,TPU
4.809384164,4.58455523,4.765395894,S,TPU
0.239491691,1.143695015,4.54056696,S,TPU
4.736070381,5,4.648093842,S,TPU
4.81427175,4.995112414,4.990224829,S,TPU
0.278592375,0.527859238,4.49657869,S,TPU
4.755620723,5,4.677419355,S,TPU
4.819159335,4.980449658,4.995112414,S,TPU
0,1.021505376,4.760508309,S,TPU
4.49657869,2.937438905,4.457478006,S,TPU
4.843597263,5,5,S,TPU
4.838709677,3.919843597,4.995112414,S,TPU
0,1.217008798,4.574780059,S,TPU
0,1.177908113,4.247311828,S,TPU
0,1.56402737,3.826979472,S,TPU
4.569892473,1.847507331,5,S,TPU
4.721407625,1.388074291,4.995112414,S,TPU
4.72629521,0.865102639,4.995112414,S,TPU
3.709677419,4.120234604,5,S,TPU
