F-volt,V-volt,P-volt,Object,Object Name
0,0.972629521,2.438905181,S,SR
4.672531769,4.6285435,4.951124145,S,SR
4.789833822,5,4.951124145,S,SR
4.789833822,5,4.946236559,S,SR
4.789833822,5,4.946236559,S,SR
4.789833822,5,4.946236559,S,SR
0,1.945259042,1.158357771,S,SR
0.004887586,1.974584555,1.495601173,S,SR
4.799608993,5,4.960899316,S,SR
4.804496579,4.687194526,4.95601173,S,SR
0,1.661779081,1.143695015,S,SR
4.799608993,5,4.985337243,S,SR
4.828934506,4.68230694,4.990224829,S,SR
0,1.544477028,0.659824047,S,SR
0,1.559139785,4.301075269,S,SR
4.838709677,4.887585533,4.985337243,S,SR
4.838709677,4.467253177,4.985337243,S,SR
0,1.476050831,0.454545455,S,SR
4.716520039,5,4.985337243,S,SR
4.833822092,4.731182796,4.985337243,S,SR
4.833822092,4.472140762,4.985337243,S,SR
4.838709677,4.31085044,4.985337243,S,SR
4.833822092,4.286412512,4.990224829,S,SR
0,1.769305963,0.894428152,S,SR
4.824046921,5,4.985337243,S,SR
4.833822092,4.633431085,4.985337243,S,SR
1.529814272,2.038123167,3.826979472,S,SR
0,1.710654936,1.432062561,S,SR
4.833822092,5,4.990224829,S,SR
4.838709677,4.511241447,4.985337243,S,SR
4.833822092,0,1.515151515,S,SR
0,1.749755621,1.344086022,S,SR
4.838709677,5,4.985337243,S,SR
4.833822092,4.569892473,4.980449658,S,SR
4.833822092,4.349951124,4.980449658,S,SR
0,1.691104594,0.826001955,S,SR
0,1.862170088,1.417399804,S,SR
0,1.9257087,1.803519062,S,SR
4.838709677,4.965786901,4.985337243,S,SR
4.838709677,4.569892473,4.990224829,S,SR
4.838709677,4.359726295,4.985337243,S,SR
0,1.637341153,0.884652981,S,SR
0,1.749755621,1.456500489,S,SR
0,1.754643206,1.534701857,S,SR
0,1.769305963,1.676441838,S,SR
0,1.73998045,1.705767351,S,SR
0,1.759530792,1.417399804,S,SR
4.838709677,5,4.985337243,S,SR
4.838709677,4.6285435,4.985337243,S,SR
4.843597263,4.408602151,4.990224829,S,SR
4.843597263,4.271749756,4.985337243,S,SR
0,1.529814272,0.816226784,S,SR
0,1.666666667,1.388074291,S,SR
4.843597263,5,4.990224829,S,SR
4.848484848,4.555229717,4.985337243,S,SR
