F-volt,V-volt,P-volt,Object,Object type
0,1.001955034,4.208211144,H,W
0,1.060606061,4.149560117,H,W
0,1.036168133,4.159335288,H,W
4.481915934,5,4.579667644,H,W
4.506353861,5,4.579667644,H,W
4.516129032,5,4.58455523,H,W
0.180840665,0.728250244,4.17888563,H,W
0,0.816226784,4.144672532,H,W
0,0.826001955,4.134897361,H,W
4.477028348,4.877810362,4.569892473,H,W
4.511241447,5,4.579667644,H,W
0.18572825,0.860215054,4.173998045,H,W
0,0.816226784,4.17888563,H,W
0,0.816226784,4.193548387,H,W
4.501466276,4.936461388,4.58455523,H,W
4.525904203,5,4.589442815,H,W
4.530791789,5,4.589442815,H,W
0.014662757,0.865102639,4.144672532,H,W
0,0.840664712,4.208211144,H,W
4.012707722,2.438905181,4.521016618,H,W
4.511241447,4.780058651,4.58455523,H,W
0,0.938416422,4.247311828,H,W
0,0.953079179,4.232649071,H,W
0,0.982404692,4.237536657,H,W
0,1.001955034,4.2228739,H,W
4.49657869,5,4.58455523,H,W
4.525904203,5,4.589442815,H,W
4.530791789,5,4.589442815,H,W
4.530791789,5,4.599217986,H,W
0.048875855,0.850439883,4.154447703,H,W
0,0.889540567,4.144672532,H,W
0,0.894428152,4.154447703,H,W
0,0.972629521,4.159335288,H,W
0,1.011730205,4.154447703,H,W
4.511241447,5,4.58455523,H,W
4.530791789,5,4.589442815,H,W
4.54056696,5,4.594330401,H,W
4.54056696,5,4.589442815,H,W
4.535679374,5,4.58455523,H,W
0,0.713587488,4.12512219,H,W
0,0.738025415,4.169110459,H,W
0,0.840664712,4.12512219,H,W
0,0.767350929,4.134897361,H,W
4.481915934,4.824046921,4.574780059,H,W
4.530791789,5,4.589442815,H,W
4.535679374,5,4.594330401,H,W
0.112414467,0.830889541,4.188660802,H,W
0,0.855327468,4.173998045,H,W
0,1.656891496,4.26686217,H,W
4.491691105,5,4.594330401,H,W
4.516129032,5,4.594330401,H,W
0.249266862,0.356793744,4.095796676,H,W
0,0.31769306,4.115347019,H,W
0,0.356793744,4.139784946,H,W
0,0.31769306,4.130009775,H,W
4.486803519,5,4.589442815,H,W
4.501466276,5,4.599217986,H,W
0.122189638,0.391006843,4.232649071,H,W
4.173998045,2.722385142,4.530791789,H,W
4.511241447,4.799608993,4.594330401,H,W
0.117302053,0.425219941,4.252199413,H,W
0,0.674486804,4.26686217,H,W
4.530791789,5,4.594330401,H,W
4.535679374,5,4.599217986,H,W
0.64516129,0.307917889,4.261974585,H,W
0.102639296,0.3714565,4.066471163,H,W
0.039100684,0.351906158,4.071358749,H,W
4.54056696,5,4.589442815,H,W
4.545454545,5,4.589442815,H,W
4.550342131,5,4.594330401,H,W
4.555229717,4.995112414,4.594330401,H,W
0.464320626,0.405669599,4.061583578,H,W
0.053763441,0.449657869,4.017595308,H,W
4.525904203,5,4.574780059,H,W
4.545454545,5,4.574780059,H,W
0.420332356,0.430107527,4.100684262,H,W
0.112414467,0.41544477,4.134897361,H,W
4.413489736,4.643206256,4.565004888,H,W
4.555229717,5,4.599217986,H,W
4.555229717,5,4.599217986,H,W
0.586510264,0.439882698,4.03714565,H,W
0.131964809,0.395894428,4.086021505,H,W
4.506353861,5,4.599217986,H,W
4.560117302,5,4.608993157,H,W
4.555229717,5,4.608993157,H,W
0.410557185,0.386119257,4.046920821,H,W
0,1.319648094,3.044965787,S,SR
0,1.300097752,3.064516129,S,SR
0,1.28054741,3.040078201,S,SR
0,1.28054741,3.054740958,S,SR
4.780058651,5,4.990224829,S,SR
4.828934506,0.953079179,4.423264907,S,SR
0,0.073313783,4.457478006,S,SR
4.794721408,5,4.980449658,S,SR
4.809384164,5,4.980449658,S,SR
0,0,4.403714565,S,SR
4.799608993,5,4.995112414,S,SR
4.833822092,5,4.995112414,S,SR
0,0,4.35483871,S,SR
0,0,4.408602151,S,SR
4.838709677,5,4.990224829,S,SR
4.838709677,5,4.985337243,S,SR
0,0,4.389051808,S,SR
4.828934506,5,4.995112414,S,SR
4.838709677,5,4.990224829,S,SR
0,0,4.379276637,S,SR
4.838709677,5,4.995112414,S,SR
4.843597263,5,4.995112414,S,SR
0,0,4.423264907,S,SR
4.838709677,5,4.990224829,S,SR
4.848484848,5,4.985337243,S,SR
0,0,4.403714565,S,SR
4.706744868,5,4.990224829,S,SR
4.848484848,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
4.843597263,5,4.995112414,S,SR
0,0,4.364613881,S,SR
4.721407625,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
0,0,4.379276637,S,SR
4.72629521,5,4.990224829,S,SR
4.848484848,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
0,0,4.384164223,S,SR
4.799608993,5,4.995112414,S,SR
4.853372434,5,4.995112414,S,SR
0,0,4.433040078,S,SR
0,0,4.457478006,S,SR
4.731182796,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
0,0,4.481915934,S,SR
0,0.078201369,4.418377322,S,SR
0,0.068426197,4.45259042,S,SR
4.828934506,5,5,S,SR
4.85826002,5,4.995112414,S,SR
0,0,4.408602151,S,SR
0,0.053763441,4.428152493,S,SR
4.848484848,5,4.995112414,S,SR
4.853372434,5,4.995112414,S,SR
4.853372434,5,5,S,SR
0,0,4.408602151,S,SR
4.716520039,5,4.995112414,S,SR
4.848484848,5,4.995112414,S,SR
4.85826002,4.687194526,4.990224829,S,SR
0,0,4.45259042,S,SR
0,0.024437928,4.433040078,S,SR
4.853372434,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,4.990224829,S,SR
4.85826002,4.916911046,4.995112414,S,SR
0,0,4.428152493,S,SR
0,0,4.398826979,S,SR
0,0.009775171,4.408602151,S,SR
4.804496579,5,4.995112414,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,5,S,SR
0,0,4.428152493,S,SR
0,0.004887586,4.379276637,S,SR
0,0.058651026,4.374389052,S,SR
4.85826002,5,4.995112414,S,SR
4.863147605,5,4.995112414,S,SR
0,0.151515152,4.428152493,S,SR
0,0,4.442815249,S,SR
0,0,4.442815249,S,SR
0,2.917888563,4.574780059,S,SR
4.863147605,5,4.995112414,S,SR
4.863147605,5,4.990224829,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,4.970674487,4.990224829,S,SR
0,0,4.393939394,S,SR
0,0,4.398826979,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,4.990224829,4.995112414,S,SR
0,0,4.413489736,S,SR
0,0,4.433040078,S,SR
4.848484848,5,5,S,SR
4.85826002,5,4.995112414,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.863147605,4.975562072,5,S,SR
0,0,4.418377322,S,SR
0,0,4.413489736,S,SR
0.913978495,3.528836755,4.701857283,S,SR
4.863147605,5,4.995112414,S,SR
4.863147605,5,5,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,4.921798631,4.985337243,S,SR
0,0,4.364613881,S,SR
0,0.019550342,4.369501466,S,SR
4.853372434,5,4.995112414,S,SR
4.85826002,5,4.990224829,S,SR
4.863147605,5,4.990224829,S,SR
0,0,4.437927664,S,SR
4.68230694,5,4.995112414,S,SR
4.863147605,5,4.990224829,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,5,5,S,SR
0,0,4.428152493,S,SR
0,0.058651026,4.403714565,S,SR
0,0.063538612,4.447702835,S,SR
4.843597263,5,4.995112414,S,SR
4.85826002,5,4.990224829,S,SR
4.85826002,5,4.995112414,S,SR
0,0,4.428152493,S,SR
4.848484848,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,5,S,SR
0,0,4.423264907,S,SR
4.853372434,5,4.995112414,S,SR
4.863147605,5,4.995112414,S,SR
4.85826002,5,4.985337243,S,SR
0,0,4.428152493,S,SR
3.71945259,4.985337243,4.970674487,S,SR
4.85826002,5,4.990224829,S,SR
0,0,4.491691105,S,SR
0,0.122189638,4.501466276,S,SR
4.853372434,5,4.990224829,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,1.573802542,4.491691105,S,SR
0,3.460410557,4.604105572,S,SR
4.85826002,5,5,S,SR
4.863147605,5,5,S,SR
0,0,4.477028348,S,SR
4.85826002,5,5,S,SR
0,0,4.506353861,S,SR
4.848484848,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.853372434,5,4.995112414,S,SR
0,0,4.467253177,S,SR
0,0.073313783,4.462365591,S,SR
0,0.161290323,4.457478006,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,5,4.995112414,S,SR
4.85826002,4.91202346,4.995112414,S,SR
4.863147605,4.824046921,4.995112414,S,SR
4.85826002,4.731182796,5,S,SR
4.85826002,4.721407625,4.995112414,S,SR
4.85826002,4.677419355,4.995112414,S,SR
4.863147605,4.638318671,4.995112414,S,SR
0,0,4.384164223,S,SR
0,0,4.433040078,S,SR
0,0.034213099,4.437927664,S,SR
0,0.122189638,4.433040078,S,SR
0,0.219941349,4.408602151,S,SR
